case_id,source_image,mask_source,lung_area_fraction,n_components,selection_rule
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058,upscale_test_new_lung_Dgen/1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058.tiff,1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058_mask.tiff; label=1.0,0.103996,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00004 Gated 0.0A-69532-1-059,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00004 Gated 0.0A-69532-1-059.tiff,1.000000-P4P105S300I00004 Gated 0.0A-69532-1-059_mask.tiff; label=1.0,0.082760,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-042,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00006 Gated 20.0A-02729-1-042.tiff,1.000000-P4P105S300I00006 Gated 20.0A-02729-1-042_mask.tiff; label=1.0,0.066837,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-070,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00006 Gated 20.0A-02729-1-070.tiff,1.000000-P4P105S300I00006 Gated 20.0A-02729-1-070_mask.tiff; label=1.0,0.082558,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-078,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00006 Gated 20.0A-02729-1-078.tiff,1.000000-P4P105S300I00006 Gated 20.0A-02729-1-078_mask.tiff; label=1.0,0.081451,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00008 Gated 40.0A-54784-1-078,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00008 Gated 40.0A-54784-1-078.tiff,1.000000-P4P105S300I00008 Gated 40.0A-54784-1-078_mask.tiff; label=1.0,0.080864,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-078,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00009 Gated 50.0A-40237-1-078.tiff,1.000000-P4P105S300I00009 Gated 50.0A-40237-1-078_mask.tiff; label=1.0,0.080776,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-081,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00009 Gated 50.0A-40237-1-081.tiff,1.000000-P4P105S300I00009 Gated 50.0A-40237-1-081_mask.tiff; label=1.0,0.080307,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00010 Gated 60.0A-69158-1-056,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00010 Gated 60.0A-69158-1-056.tiff,1.000000-P4P105S300I00010 Gated 60.0A-69158-1-056_mask.tiff; label=1.0,0.080498,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00011 Gated 70.0A-12662-1-031,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00011 Gated 70.0A-12662-1-031.tiff,1.000000-P4P105S300I00011 Gated 70.0A-12662-1-031_mask.tiff; label=1.0,0.035919,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-045,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00013 Gated 90.0A-34039-1-045.tiff,1.000000-P4P105S300I00013 Gated 90.0A-34039-1-045_mask.tiff; label=1.0,0.070053,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-060,upscale_test_new_lung_Dgen/1.000000-P4P105S300I00013 Gated 90.0A-34039-1-060.tiff,1.000000-P4P105S300I00013 Gated 90.0A-34039-1-060_mask.tiff; label=1.0,0.082104,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S300I00005 Gated 20.0A-79282-1-36,upscale_test_new_lung_Dgen/1.000000-P4P117S300I00005 Gated 20.0A-79282-1-36.tiff,1.000000-P4P117S300I00005 Gated 20.0A-79282-1-36_mask.tiff; label=1.0,0.070568,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S300I00006 Gated 30.0A-98754-1-53,upscale_test_new_lung_Dgen/1.000000-P4P117S300I00006 Gated 30.0A-98754-1-53.tiff,1.000000-P4P117S300I00006 Gated 30.0A-98754-1-53_mask.tiff; label=1.0,0.096630,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-27,upscale_test_new_lung_Dgen/1.000000-P4P117S300I00008 Gated 50.0A-92363-1-27.tiff,1.000000-P4P117S300I00008 Gated 50.0A-92363-1-27_mask.tiff; label=1.0,0.045143,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-59,upscale_test_new_lung_Dgen/1.000000-P4P117S300I00008 Gated 50.0A-92363-1-59.tiff,1.000000-P4P117S300I00008 Gated 50.0A-92363-1-59_mask.tiff; label=1.0,0.042625,2,label 1; >=2 components of >=800px; area 3%-35%
