case_id,psnr_full,ssim_full,mae_full,rmse_full,mask_nonzero_area_fraction,original_mean_mask_nonzero,generated_mean_mask_nonzero,original_std_mask_nonzero,generated_std_mask_nonzero,mae_mask_nonzero,mask_labels
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058,28.00435970670918,0.827909222834387,0.09958967142170572,0.28188515727923974,0.2944679260253906,1.2457667961958372,1.2356163507656224,0.9833879624477375,0.7701592487843204,0.32642902714354227,0.0|0.5|1.0
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-123,26.66823202904569,0.8991021923958086,0.07124325782944485,0.24823559333754755,0.2645263671875,1.7744174580220582,1.7264009898069377,0.3936172030861971,0.31701203746122075,0.2555323416909878,0.0|0.5
1.000000-P4P100S300I00004 Gated 10.0A-82400-1-022,27.22700521528735,0.8981785160238894,0.1033511603488817,0.4210600955448081,0.25600433349609375,1.88543045071275,1.6772436261258523,0.9186346184252492,0.46233730073660806,0.3891747995453858,0.0|0.5|1.0
1.000000-P4P100S300I00005 Gated 20.0A-81534-1-025,27.57278261174404,0.9033352520768909,0.10227627963242014,0.40462733148920726,0.2599067687988281,1.7901225149906497,1.7334929087135833,0.9302323690359569,0.5141822584855589,0.3793638190156561,0.0|0.5|1.0
1.000000-P4P100S300I00005 Gated 20.0A-81534-1-123,28.01962828417679,0.8974322305757967,0.06158581514350692,0.21382163771041543,0.2597465515136719,1.796915332122518,1.7632401396118764,0.3317647181977265,0.3710819276968378,0.22438216323219476,0.0|0.5
1.000000-P4P100S300I00006 Gated 30.0A-66113-1-100,25.17500293388207,0.8610299060750584,0.10852836422295598,0.30619896761936594,0.2946357727050781,1.7684553570681762,1.5686661294118889,0.5111845743878807,0.4041603342424891,0.35494451795578436,0.0|0.5|1.0
1.000000-P4P100S300I00006 Gated 30.0A-66113-1-113,25.74399998450627,0.8746015927484574,0.09199557230828637,0.2801256032158408,0.2814521789550781,1.7834791393483844,1.6336121926550902,0.43364629297733936,0.3067398884293726,0.31413491914806807,0.0|0.5
1.000000-P4P100S300I00008 Gated 50.0A-57212-1-120,26.762798089623153,0.8902670206456738,0.08650541923569888,0.2535910428157649,0.2651214599609375,1.7865879355524852,1.5625790016144487,0.38872472599905106,0.3262584324444823,0.314973081100315,0.0|0.5
1.000000-P4P100S300I00011 Gated 80.0A-15277-1-136,29.011973785042233,0.9161557833352754,0.06254465839253998,0.1953930852176793,0.23781585693359375,1.7827520678277708,1.6352151623621527,0.28494045374324484,0.2822860489422686,0.24385175861798838,0.0|0.5
1.000000-P4P105S300I00004 Gated 0.0A-69532-1-059,25.427437384725597,0.8339095856801159,0.09664225309920482,0.25430559745280923,0.20490264892578125,1.0705587604096403,1.29571040557379,1.0304007032118174,0.9066290341866318,0.42122944041754534,0.0|0.5|1.0
