case_id,roi_pixels,contrast,energy,contrast_anisotropy,contrast_0deg,energy_0deg,contrast_45deg,energy_45deg,contrast_90deg,energy_90deg,contrast_135deg,energy_135deg,outlier,outlier_reason
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058,25158,5.575786246981601,0.024651452772640636,0.2860750942006939,4.299084640509697,0.02754163475146663,6.957751043059099,0.022032231105851792,3.702171373323128,0.027120457426258696,7.344137931034482,0.021911487806985427,False,
1.000000-P4P105S300I00004 Gated 0.0A-69532-1-059,19911,3.533862078696661,0.06408041883853952,0.2795370702968619,2.793924257097711,0.06898337094523915,4.646492082201609,0.0588291484014054,2.3354756439683753,0.07146100805886939,4.359556331518949,0.05704814794864409,False,
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-042,16100,3.3230576410866326,0.08404198949845951,0.2796728086998286,2.6271592485184723,0.0900172912852358,4.197069643536725,0.07795588723055145,2.1873700132350162,0.09071179014850031,4.280631659056317,0.07748298932955042,False,
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-070,19638,5.099028896327955,0.0453634878868834,0.28455900972383436,3.4584865592790175,0.05046458964029719,6.279107357005058,0.04128112764854191,3.8747280074603667,0.049068732576901745,6.783793661567378,0.04063950168179276,False,
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-078,19617,4.657320250339009,0.049518679925948716,0.2749193176930294,3.5198570910785483,0.05457169374067676,6.039258565031761,0.04521256618136781,3.245876208697451,0.053730590739275094,5.824289136548276,0.04455986904247521,False,
1.000000-P4P105S300I00008 Gated 40.0A-54784-1-078,19451,5.497109675206735,0.045667761152836495,0.2752472759839972,4.080691492139761,0.050503838560535724,6.84313622518643,0.04127837230678565,3.8987586063008552,0.049728253393821545,7.165852377199895,0.04116058035020305,False,
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-078,19418,5.760550089721972,0.044449282831701825,0.2766112645587106,4.285587235155637,0.049126127779949395,7.148111122803325,0.03996368238704484,4.064789173938033,0.048468222695817145,7.543712826990895,0.04023909846399594,False,
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-081,19342,5.165482719564349,0.038290402591669624,0.27397381825763983,3.5942226890756297,0.04276381600434292,6.220703125,0.03468306592296213,3.9579400041955104,0.04169782275696282,6.889065059986259,0.03401690568241062,False,
1.000000-P4P105S300I00010 Gated 60.0A-69158-1-056,19377,4.8715253638158424,0.05164976893652923,0.2828590802117601,3.6434258774227346,0.05788952471008684,6.203055043455359,0.04718789191444752,3.352075036679941,0.05559278138271727,6.2875454977053336,0.045928877738865295,False,
1.000000-P4P105S300I00011 Gated 70.0A-12662-1-031,8461,2.7891396625905682,0.1820779762421275,0.2503340136979659,2.128131021194605,0.19104837902248287,3.5887067395264114,0.17278331672570577,2.0625225876400433,0.1921199828155796,3.377198302001213,0.17236022640474166,True,energy
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-045,16905,3.0156903307716707,0.06273979901284513,0.2827573367717456,2.398571171279342,0.06878263091338246,4.058734757937945,0.05717840173335828,1.9814592583703345,0.06813451825244497,3.6239961354990635,0.056863645152194754,False,
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-060,19784,3.233645814233717,0.06041439523098546,0.28117237643388043,2.2857655809181843,0.06713461820429818,4.4548220732336254,0.05544280014394686,2.4338344707270765,0.06429087707315781,3.760161132055983,0.05478928550253902,False,
1.000000-P4P117S300I00005 Gated 20.0A-79282-1-36,16706,8.992341487994231,0.011520824165753831,0.282982428294896,5.5010679196924395,0.01357126335943246,11.686710025770033,0.010440489586205963,7.639318320146074,0.01189473296217117,11.142269686368378,0.010176810755205733,False,
1.000000-P4P117S300I00006 Gated 30.0A-98754-1-53,23299,9.840287532810029,0.007998199074016357,0.27726854192396916,7.1010039284155395,0.00910099985120071,13.128493330417669,0.006894662952175245,7.187793223284101,0.008677693857417075,11.943859649122807,0.007319439635272392,False,
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-27,10640,8.41411241622952,0.010899185238912664,0.289064202135549,5.262576804915514,0.013287140699585415,10.207282913165265,0.009846105796775357,6.903256613503963,0.011164282620902,11.283333333333333,0.009299211838387889,False,
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-59,9765,10.10212453550209,0.007042396620919141,0.2789167910944247,7.03615973168431,0.008369326600995108,12.491561181434598,0.006260654230981502,7.575230511316009,0.007472295782396474,13.305546717573442,0.006067309869303481,False,
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-044,10869,7.186516644809879,0.01601333922138983,0.28454740731748707,4.914835680751174,0.01903074786748661,8.466956193353475,0.014396245834227052,5.510133557485757,0.016765064824884757,9.85414114764911,0.013861298358960909,False,
1.000000-P4P117S301I00008 Gated 50.0A-70687-1-062,21108,7.773942256193882,0.011172041408120864,0.2793954984362796,5.430279076492987,0.013497175850007244,9.70814161863709,0.009753529362325458,5.793188050223698,0.011608229171008117,10.164160279421752,0.009829231249142638,False,
1.000000-P4P117S301I00010 Gated 70.0A-84091-1-072,21358,9.490320640347125,0.006699279555584843,0.27507667598262625,6.723660906610502,0.0075999576210720446,11.826064008444892,0.005776123414940866,7.054621648649936,0.00742765976027726,12.356935997683175,0.005993377426049201,False,
1.000000-P4P117S302I00003 Gated 0.0A-54642-1-054,25903,2.361448257250573,0.03343219432107382,0.28770881799461767,1.8173838075084252,0.03703355201903218,2.6820811523475934,0.031081170827581987,1.629773082942097,0.0363725139045016,3.316554986204178,0.029241540533179507,False,
1.000000-P4P117S302I00006 Gated 30.0A-18623-1-036,14435,2.7668730526865772,0.047354957838007555,0.31690917149458986,2.181151758652287,0.05280026499996628,2.8753986816925368,0.044135688784245085,1.8638184245660883,0.05136486071708751,4.147123345835397,0.04111901685073134,False,
