case_id,reason
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-123,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P100S300I00004 Gated 10.0A-82400-1-022,área pulmonar fora da faixa operacional (1.5%)
1.000000-P4P100S300I00005 Gated 20.0A-81534-1-025,área pulmonar fora da faixa operacional (2.4%)
1.000000-P4P100S300I00005 Gated 20.0A-81534-1-123,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P100S300I00006 Gated 30.0A-66113-1-100,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P100S300I00006 Gated 30.0A-66113-1-113,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P100S300I00008 Gated 50.0A-57212-1-120,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P100S300I00011 Gated 80.0A-15277-1-136,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-028,área pulmonar fora da faixa operacional (2.7%)
1.000000-P4P105S300I00013 Gated 90.0A-34039-1-103,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S300I00005 Gated 20.0A-79282-1-66,área pulmonar fora da faixa operacional (2.3%)
1.000000-P4P117S300I00006 Gated 30.0A-98754-1-21,área pulmonar fora da faixa operacional (2.1%)
1.000000-P4P117S300I00008 Gated 50.0A-92363-1-75,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00003 Gated 0.0A-30542-1-114,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00004 Gated 10.0A-87756-1-094,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-029,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-033,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-037,área pulmonar fora da faixa operacional (1.2%)
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-106,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00005 Gated 20.0A-84587-1-142,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-115,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-117,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00008 Gated 50.0A-70687-1-108,a máscara não tem dois componentes pulmonares relevantes
1.000000-P4P117S301I00009 Gated 60.0A-11379-1-034,a máscara não tem dois componentes pulmonares relevantes
