case_id,original_energy,dgen_energy,dgen_energy_error,dsr_energy,dsr_energy_error,original_entropy,dgen_entropy,dgen_entropy_error,dsr_entropy,dsr_entropy_error,dgen_status,dgen_pair_distance_energy_iqr,dgen_pair_distance_entropy_iqr,log2_energy_ratio_dgen_s2_LH,log2_energy_ratio_dgen_s2_HL,log2_energy_ratio_dgen_s2_HH,log2_energy_ratio_dgen_s1_LH,log2_energy_ratio_dgen_s1_HL,log2_energy_ratio_dgen_s1_HH,dsr_status,dsr_pair_distance_energy_iqr,dsr_pair_distance_entropy_iqr,log2_energy_ratio_dsr_s2_LH,log2_energy_ratio_dsr_s2_HL,log2_energy_ratio_dsr_s2_HH,log2_energy_ratio_dsr_s1_LH,log2_energy_ratio_dsr_s1_HL,log2_energy_ratio_dsr_s1_HH
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058,0.012368328826550957,0.008362536833532013,0.004005791993018945,0.0075898263419176245,0.004778502484633333,0.9374964904678517,0.9558789555117325,0.018382465043880858,0.9411555170095024,0.003659026541650734,approved,0.7415458345172972,0.930020642456839,-0.2901102823780992,-0.8735511371418797,-0.42154753016988183,-0.23184750371706364,-0.7675062165215558,-0.5253909357027193,approved,0.8845887701822177,0.18512045076160336,-0.5471836576996256,-0.7626672115574215,-0.8585705428021103,-0.793316666383623,-0.9725652142576798,-1.1080871889297512
1.000000-P4P105S300I00004 Gated 0.0A-69532-1-059,0.007331223891107352,0.01076152491149481,0.0034303010203874575,0.007541933718688034,0.00021070982758068183,0.9179736889212107,0.9516300730219726,0.03365638410076188,0.9406567741524162,0.022683085231205546,manual_review,0.6350118621340813,1.7027711946926403,0.8260549924349931,0.3045588187928855,0.65603650367965,0.6840017249649832,0.19606716121342385,0.4088228114121255,manual_review,0.03900626772598713,1.1476011214639221,0.2569435979245797,-0.06920971154024783,-0.045911966038661586,-0.02363344164414034,-0.3689144876483671,-0.4357040193513966
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-042,0.007784451396087996,0.009808787274627041,0.002024335878539045,0.005380508256545415,0.002403943139542581,0.9120023811923486,0.9503078751308157,0.03830549393846716,0.9376943909841908,0.025692009791842274,manual_review,0.37474183407691547,1.9379827459070063,0.6478057085395476,-0.012382688293453493,0.5814969010146223,0.565115835770683,0.1985357766693237,0.39380277859978485,manual_review,0.4450141257086995,1.2998310833492053,-0.27242217883010694,-0.7066643529192487,-0.5399437475841687,-0.5851075584507266,-0.7490658898847133,-0.8280106964239486
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-070,0.012273098071566275,0.012020754219075872,0.0002523438524904033,0.009828267186260418,0.0024448308853058567,0.9174696658159992,0.9543114980127921,0.036841832196792934,0.9382645795058,0.020794913689800798,manual_review,0.04671349211502128,1.863931979044023,-0.11182698990088308,-0.0061957134941517025,0.15511459991990778,0.07019034202675499,0.007318983842941218,-0.0816645998684982,manual_review,0.4525832000905944,1.052073209085788,-0.14610899293696392,-0.44445054628571057,-0.5110893433615795,-0.3576420859851833,-0.6164909478605524,-0.8530967182929245
1.000000-P4P105S300I00006 Gated 20.0A-02729-1-078,0.009578779475026764,0.011666761579168523,0.00208798210414176,0.007834777752279578,0.0017440017227471852,0.9205754660181199,0.9548918918341069,0.03431642581598704,0.9433255094797511,0.02275004346163123,manual_review,0.3865239220037706,1.7361645626972406,0.5846905161944796,0.0914351226814916,0.054481980435047116,0.26473361840721654,0.024339373357502483,-0.030318768111529205,manual_review,0.32284682158933287,1.1509887267894112,-0.14279852754897335,-0.3071840758584111,-0.4807088897207504,-0.4202827286742856,-0.6257998887015966,-0.7629701663295411
1.000000-P4P105S300I00008 Gated 40.0A-54784-1-078,0.011335029542916946,0.006602895085919666,0.00473213445699728,0.0072101567790238165,0.004124872763893129,0.9210718454864901,0.9159366360787945,0.005135209407695629,0.9431386055474636,0.022066760060973523,approved,0.8760051947473922,0.25980469654614,-0.5228109931137347,-0.9996004029343667,-0.9174782934863175,-0.5986927361708672,-1.0683055369174457,-0.7465257750413594,manual_review,0.7635898771852018,1.116419496507028,-0.5459417779744198,-0.6680226642217099,-0.7502503734269752,-0.7865481574755505,-0.9460109683853395,-1.0603640762701025
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-078,0.011489618575304205,0.00753853461737499,0.003951083957929215,0.007288993093781069,0.004200625481523136,0.9206093268481873,0.9243470695564512,0.0037377427082638803,0.9441741892213571,0.023564862373169793,approved,0.7314183701841228,0.18910292317052912,-0.35658926560868554,-0.7415605175999638,-0.8839211380508863,-0.6975639274981215,-0.9991433156261533,-0.8841046953938873,manual_review,0.7776130996365406,1.1922127087627827,-0.5865703279262481,-0.6212251797176787,-0.7919102493195804,-0.7357554837749479,-1.0462672175412697,-1.1635120732267346
1.000000-P4P105S300I00009 Gated 50.0A-40237-1-081,0.010251926155840198,0.01108216729629243,0.0008302411404522321,0.006730173554937828,0.00352175260090237,0.9238283811981255,0.9503966943827361,0.026568313184610615,0.9441133844119779,0.020285003213852404,manual_review,0.15369291776012878,1.3441657382708425,0.09609256919575827,0.34785492681490954,-0.22558120071739066,-0.1364544608091922,-0.16465146519869542,-0.4691398202495027,manual_review,0.6519412330822089,1.0262754030078236,-0.5332329880736931,-0.4744364062953015,-1.0152468981662275,-0.776606847404483,-0.9095808201749931,-1.2627097921561632
1.000000-P4P105S300I00010 Gated 60.0A-69158-1-056,0.010876122808318385,0.012935602953561115,0.00205948014524273,0.009529839950039863,0.001346282858278522,0.9199426117172268,0.9547345341651167,0.03479192244788987,0.9417154054413021,0.021772793724075257,manual_review,0.3812476847617989,1.760221275550098,0.30428562853461744,0.14444255562875258,0.45814595692534443,0.43194941052078567,0.08417164319978193,0.3807770482240597,manual_review,0.24922173876684295,1.101546912180052,0.052031341017216896,-0.38419114127094145,-0.20624771769764447,-0.3254008160854489,-0.6432981432771067,-0.6773156365789055
1.000000-P4P105S300I00011 Gated 70.0A-12662-1-031,0.005322197546089477,0.0077324587439148015,0.002410261197825324,0.003510611072770091,0.0018115864733193863,0.9016519990340623,0.9484748565817643,0.04682285754770199,0.9300251012799658,0.028373102245903503,manual_review,0.44618371459648265,2.368900142294817,1.118631793582709,0.1618829087822408,-0.17919774128153615,0.612729797182467,0.09259848257363743,-0.0953782495451882,manual_review,0.33535800298643176,1.4354750963072078,-0.42342296487097303,-0.4377069621388597,-1.1504251141232016,-0.8947236687527734,-1.032928064686593,-1.5604872061212218
